company_id,industry,region,credit_score,debt_to_equity_ratio,revenue_growth_rate,cash_flow_stability,economic_index,default_risk
1,Manufacturing,Asia,763.6200153509085,2.5208100479850932,-0.43147401240301186,0.9250866324861405,0.7686116399104609,0
2,Technology,Asia,545.2376409228943,0.37056637107698764,0.3679939333361105,0.053972632550913,0.9945039639589051,0
3,Finance,Asia,689.7209501723039,4.777723815464273,0.29258716003356855,0.8654170352961204,1.1969436258397035,0
4,Manufacturing,Asia,702.5300055075754,0.7300285779047045,0.07464207062183903,0.5113587887333509,0.5118864088473837,0
5,Manufacturing,Asia,395.68003824683626,3.517560209410962,-0.41633658994881684,0.6189464961388172,1.1374670588141296,0
6,Technology,North America,498.66883243669645,2.580532076845313,-0.2266876413462804,0.3026056209087038,1.0415907782732745,0
7,Finance,Asia,650.5161860959131,0.2255980244336707,-0.20228015194148308,0.9666976167943213,0.7202861677467326,0
8,Finance,Asia,338.8831345014014,4.631262631735372,0.06074319601541711,0.2818509585194898,1.2529810739761968,1
9,Manufacturing,North America,498.84710326962613,4.274000363212773,-0.24195610596328454,0.5888779971403043,0.8034609846332011,0
10,Retail,North America,594.1397064546559,2.668863846728794,-0.42704013608704516,0.9934167051071289,0.7768609315465648,0
11,Manufacturing,North America,847.9234711745513,1.2218174470832819,0.23076230185329938,0.8810943963834458,0.9712183489993227,1
12,Manufacturing,North America,560.9934594423423,0.6959521643324618,-0.20091978834458868,0.5363298252861061,1.1761496784223646,0
13,Manufacturing,North America,748.8312164128779,1.8806231492174206,-0.04762582297669937,0.9903745229672121,1.4288459758762544,1
14,Manufacturing,North America,537.6370067866397,1.3515985771258436,-0.37233336501769465,0.7013698617326146,0.641357243132104,0
15,Technology,Asia,738.0148974408398,2.582786884930864,0.3025483033945796,0.20870041614180934,0.8964681207517337,0
16,Finance,Asia,627.4781408910596,4.8354055510048015,0.0655318769240576,0.4055962104358064,0.5669895925126299,0
17,Technology,Europe,787.6274928263191,2.9172721168252433,0.4015856262098628,0.334493334011551,1.2585507474717423,0
18,Technology,Asia,526.0184037925604,4.46066217386148,-0.004528436934666646,0.34401370827118916,0.9477328896813607,0
19,Technology,Asia,632.3674309018133,3.2893063037293087,0.44142567181787973,0.7604564393598663,1.2069291351881852,0
20,Manufacturing,North America,646.5102743403551,2.4287079802772826,0.39186820438132597,0.5842629272727936,0.8221944239762873,0
21,Retail,North America,529.5606179902603,4.287577057393519,0.07645985645923392,0.03809271158952854,1.3443172414063236,0
22,Finance,Asia,379.37162402811487,2.409703739847688,0.43389343814986336,0.877448483650976,1.0348280782401147,0
23,Retail,Europe,351.45767380178455,4.356278035500769,-0.17691125270544772,0.29679614048016456,1.443607821823655,0
24,Technology,North America,309.1693528297982,1.52872617092125,-0.13435783729578865,0.9970748769131437,0.5788146391440342,0
25,Technology,Asia,780.443845334868,0.7311840614386418,-0.45452204869396307,0.9541907303347857,1.0142768245420744,1
26,Retail,Asia,430.06120173128204,4.291040875378398,0.08920090676385306,0.9405307166819652,1.2664552459976988,0
27,Retail,Europe,416.3287121049724,2.9783343025840674,0.22192396992893337,0.8111276040639737,1.1001526480736148,0
28,Retail,Europe,704.819470234336,4.456552751419904,0.27351919024210314,0.22061333168354258,0.5231941404268428,0
29,Technology,North America,476.00886219806546,4.695353314262678,-0.3501837139538967,0.532632744028782,1.4723386783438808,0
30,Technology,Europe,578.3245808265101,0.362779112820101,-0.05584092768749971,0.2243026268249746,0.7982636930758984,0
31,Finance,Asia,389.38108591360094,2.554749579108455,-0.32313678790608436,0.2596754555889492,0.749277866366382,0
32,Finance,Asia,827.8601468040831,1.9373262904651936,0.16212734885424884,0.6109517694362774,0.9856598756065795,0
33,Technology,Europe,768.3697700094806,3.166706145643574,-0.3420536275782319,0.04083354535306338,1.042158107523349,0
34,Retail,Europe,775.0842926307519,3.9885968662913855,0.40416368395607494,0.9694585668207076,1.2662881375898254,0
35,Retail,Europe,523.7255617146029,1.474892058274408,-0.26936535433858666,0.9186731725779644,0.8932736576589891,0
36,Finance,Europe,719.298667538945,2.8283120834285413,-0.20859773371175516,0.38076757215771984,0.9399603764622122,0
37,Technology,North America,379.1318854643791,3.572770041534008,0.3509063221509997,0.5154224480069131,1.034959915933831,0
38,Finance,Europe,304.74045142547914,0.7587123058950968,-0.04153238985427621,0.466119419267759,0.8943870997416407,0
39,Finance,North America,310.98511291791544,4.088927839161208,-0.476004054199927,0.8821997786174698,1.414548079101156,0
40,Manufacturing,Asia,622.6309555725082,3.0699370392795684,-0.005413748797354234,0.688601876316111,1.3512519666342522,0
41,Manufacturing,Europe,550.4671978863674,4.752733441856893,-0.41545666461987696,0.27811124742435644,0.9549736950778783,0
42,Manufacturing,North America,584.9084418996858,1.7636917037403972,0.48534471868731066,0.4468412544652969,0.5001948623373171,0
43,Retail,Europe,304.10472722947065,0.6299151174522735,0.08811157045560236,0.42896597568676376,1.4009344955292806,0
44,Technology,Asia,532.4776408115841,2.5818558850809343,-0.24346738238902155,0.9593351682839186,0.6243365734394652,0
45,Technology,Asia,694.9374886604735,0.5204727813762504,0.06371767954761776,0.17531091051463965,0.7445124151940462,0
46,Technology,Asia,543.4815360820897,4.850679964287633,-0.42313289661824516,0.08957633729442904,0.6523612843653982,0
47,Technology,Europe,702.7205634717222,0.28955629546023853,0.29989130426881705,0.8806188321616902,0.6798155699810238,0
48,Manufacturing,Europe,428.1604304182591,3.7921691154258097,0.4253280538641637,0.8966859895058709,1.3028775378898347,0
